block,produced_state,family,mean_overlap,minimum_overlap,maximum_overlap
20,21,value,0.0997655584,0.0971263256,0.1045694156
21,22,gate,0.1077506806,0.1035976935,0.1106702932
21,22,value,0.1037437915,0.1030029632,0.104977089
22,23,gate,0.1073327492,0.1057459831,0.1094238227
22,23,value,0.1051728211,0.1043217744,0.1060862331
23,24,gate,0.1054861714,0.1042276746,0.1061484596
23,24,value,0.103578068,0.1027325708,0.1041140796
24,25,gate,0.1068438207,0.1050854177,0.1089022176
24,25,value,0.1016353808,0.0984689364,0.1041192286
25,26,gate,0.1066822804,0.1050290829,0.1078404314
25,26,value,0.1049262673,0.1016165028,0.1069902581
26,27,gate,0.1067199733,0.1044845408,0.1097330208
26,27,value,0.1028808718,0.0985621758,0.1082989504
27,28,gate,0.1065691468,0.1055407934,0.1086934155
27,28,value,0.1036833715,0.103171315,0.1043923936
28,29,gate,0.1064608562,0.1045769608,0.1090210872
28,29,value,0.1025233799,0.1001667779,0.1054409652
29,30,gate,0.1060101261,0.1049516018,0.1075299428
29,30,value,0.1038957934,0.1021154082,0.1056513142
30,31,gate,0.1072861273,0.1068200855,0.1083489021
30,31,value,0.1047754769,0.1028459909,0.1071148704
31,32,gate,0.1056492945,0.1025298109,0.107696713
31,32,value,0.1044342522,0.1021141271,0.1064597392
32,33,gate,0.1069569079,0.1052366207,0.1090737177
32,33,value,0.1031481305,0.1016044577,0.1054724816
33,34,gate,0.1032204098,0.1004635388,0.1053420667
33,34,value,0.1013168006,0.0997044404,0.1020391221
34,35,gate,0.1063899296,0.1029908795,0.1111279733
34,35,value,0.1056959969,0.104489313,0.1075844504
35,36,gate,0.1062714844,0.1050905798,0.1091144691
35,36,value,0.1040170125,0.0996253596,0.1070774022
36,37,gate,0.1076372344,0.1030704977,0.1123479807
36,37,value,0.1032544334,0.1022795927,0.1039064393
37,38,gate,0.1053766709,0.1030783256,0.1087961452
37,38,value,0.1035897872,0.1012982691,0.1051898474
38,39,gate,0.1058216204,0.1036368705,0.1078044702
38,39,value,0.1011064916,0.0999779539,0.1026020143
39,40,gate,0.1045839408,0.1029147985,0.1071792939
39,40,value,0.1047905838,0.1025256352,0.1068036883
40,41,gate,0.1034357902,0.101012301,0.1064602687
40,41,value,0.1026441325,0.0993850674,0.1044182228
41,42,gate,0.1046561843,0.1014942063,0.1063696814
41,42,value,0.1039141693,0.1023430346,0.1068121979
42,43,gate,0.1080410785,0.1045283107,0.1130999874
42,43,value,0.105267169,0.1026232485,0.1090465849
43,44,gate,0.1093289091,0.1066143834,0.1128433174
43,44,value,0.105700193,0.1015239997,0.1096592699
44,45,gate,0.1116008613,0.1096256784,0.1141669668
44,45,value,0.1067500385,0.1043691264,0.1095164768
45,46,gate,0.1117960644,0.1104856148,0.1147325306
45,46,value,0.1080972625,0.1058516001,0.1126312241
46,47,gate,0.1133612583,0.1110404102,0.1154475535
46,47,value,0.1131568312,0.1100099424,0.1170145845
47,48,gate,0.1156667567,0.1104582736,0.1208530446
47,48,value,0.1150419968,0.1093209552,0.1196906182
48,49,gate,0.1401642769,0.1289278819,0.1467061326
48,49,value,0.1356788238,0.1257909217,0.1418120153
49,50,gate,0.1516586402,0.1378936352,0.1614939442
49,50,value,0.1409230664,0.1326570626,0.1454377871
50,51,gate,0.1635934254,0.1486480949,0.1752810403
50,51,value,0.1599533642,0.1467823629,0.1680359352
51,52,gate,0.1423830157,0.1324615828,0.1495972461
51,52,value,0.1436405216,0.1332069437,0.1517654423
52,53,gate,0.1276693517,0.1206357418,0.1341665694
52,53,value,0.1364357462,0.1290903697,0.1435882525
53,54,gate,0.1188317778,0.1136857056,0.1253490232
53,54,value,0.1224805104,0.115991624,0.1293348963
54,55,gate,0.1221105147,0.1141433234,0.1304913116
54,55,value,0.119551467,0.1125371512,0.1253002759
55,56,gate,0.1150975692,0.1088661336,0.1210704388
55,56,value,0.112567424,0.1087703945,0.1161617807
56,57,gate,0.1136131398,0.1117614849,0.1161427107
56,57,value,0.1116536064,0.1082327077,0.1135135997
57,58,gate,0.1132368572,0.1075390029,0.1167505891
57,58,value,0.112985323,0.1080277701,0.1187214763
58,59,gate,0.1120126591,0.109004671,0.1140633372
58,59,value,0.1109216776,0.1086755005,0.1132953757
59,60,gate,0.1148835146,0.1128451401,0.1167354303
59,60,value,0.1201968722,0.1182827079,0.1212015502
60,61,gate,0.1239807367,0.1207707686,0.1283941688
60,61,value,0.1373489692,0.1320001469,0.1427114049
61,62,gate,0.1419867347,0.1343125462,0.1495316602
61,62,value,0.152568717,0.1428411065,0.1620412805
62,63,gate,0.1407098258,0.1304043519,0.1500871127
62,63,value,0.1425070055,0.1329155341,0.1497325275
63,64,gate,0.1272306201,0.1206818345,0.1335464789
63,64,value,0.1294744137,0.1241105092,0.1358303003
64,65,gate,0.1202012372,0.1151310402,0.1265863214
64,65,value,0.1242234221,0.1203324619,0.1289171525
65,66,gate,0.1197705028,0.1147360816,0.1229924697
65,66,value,0.1220998743,0.1180492188,0.1252463819
66,67,gate,0.1178590289,0.1146025321,0.1213032854
66,67,value,0.117738638,0.1147319249,0.1206938763
67,68,gate,0.1233810554,0.1198159645,0.1270962694
67,68,value,0.1262340504,0.1225636961,0.1301020551
68,69,gate,0.1321273482,0.127197606,0.138054873
68,69,value,0.1303178465,0.1248640775,0.1395068873
69,70,gate,0.1461773285,0.1351642034,0.1580946395
69,70,value,0.1385084547,0.1325701833,0.1464574676
70,71,gate,0.1579191247,0.1467433368,0.1710212908
70,71,value,0.1488041717,0.1430345057,0.1577820363
71,72,gate,0.1587820124,0.1444249856,0.1718648293
71,72,value,0.1551161983,0.1447084583,0.1676546872
72,73,gate,0.176436224,0.1585295193,0.1924002924
72,73,value,0.1726956965,0.1601563255,0.1850405702
73,74,gate,0.1856551788,0.1678222455,0.2031220469
73,74,value,0.2097145404,0.1898477952,0.228903806
74,75,gate,0.1907391239,0.1714627155,0.20714617
74,75,value,0.2310529412,0.207789414,0.2484252328
75,76,gate,0.2012346604,0.1828891858,0.2179432903
75,76,value,0.2078860909,0.1879566373,0.226473293
76,77,gate,0.1941663976,0.1723550666,0.2131216378
76,77,value,0.216376109,0.1965714717,0.2300612578
77,78,gate,0.2662125256,0.2301185173,0.2939295762
77,78,value,0.2609735664,0.2348722495,0.2752943247
78,79,gate,0.2424069335,0.221096799,0.2536716732
78,79,value,0.2601146201,0.2441553902,0.2675264477
79,80,gate,0.3532054454,0.2963335324,0.4063616572
79,80,value,0.2572570984,0.2260298113,0.2869309188
